ProductID,ProductName,Category,StoreID,Date,UnitsSold,UnitsInStock,UnitCost,UnitPrice,Season,Revenue,Cost,Profit,InventoryValue,InventoryTurnoverRate,StockoutFlag,ExcessInventoryValue
P1072,Puzzle,Action Toys,Store_8,10/6/2023,339,449,47.34,28.66,Winter Sale,9715.74,16048.26,-6332.52,21255.66,0.753333333,0,21255.66
P1073,Board Game,Puzzles,Store_5,11/11/2023,91,204,42.21,80.41,Diwali,7317.31,3841.11,3476.2,8610.84,0.443902439,0,0
P1074,Action Figure,Dolls,Store_7,2/6/2024,366,125,35.01,76.11,Christmas,27856.26,12813.66,15042.6,4376.25,2.904761905,0,0
P1075,Remote Car,Games,Store_5,2/8/2022,443,42,30.97,37.04,Summer Break,16408.72,13719.71,2689.01,1300.74,10.30232558,0,0
P1076,Card Game,Dolls,Store_1,4/20/2023,454,110,20.69,39.32,Off Season,17851.28,9393.26,8458.02,2275.9,4.09009009,0,0
P1077,Soft Toy,Action Toys,Store_10,1/25/2024,427,182,12.17,81.33,Diwali,34727.91,5196.59,29531.32,2214.94,2.333333333,0,0
P1078,Card Game,Puzzles,Store_6,5/21/2023,263,94,32.22,51.53,Diwali,13552.39,8473.86,5078.53,3028.68,2.768421053,0,0
P1079,Lego Set,Action Toys,Store_2,10/1/2023,430,373,19.32,75.77,Summer Break,32581.1,8307.6,24273.5,7206.36,1.14973262,0,0
P1080,Remote Car,Dolls,Store_1,4/6/2024,34,519,43.99,23.32,Christmas,792.88,1495.66,-702.78,22830.81,0.065384615,0,22830.81
P1081,Board Game,Games,Store_1,10/16/2022,205,359,49.7,86.73,Off Season,17779.65,10188.5,7591.15,17842.3,0.569444444,0,0
P1082,Card Game,Games,Store_7,4/28/2024,80,280,38.86,73.98,Winter Sale,5918.4,3108.8,2809.6,10880.8,0.284697509,0,0
P1083,Action Figure,Games,Store_7,6/22/2023,419,194,9.07,91.62,Summer Break,38388.78,3800.33,34588.45,1759.58,2.148717949,0,0
P1084,Remote Car,Games,Store_7,11/14/2023,49,194,17.99,21.91,Winter Sale,1073.59,881.51,192.08,3490.06,0.251282051,0,0
P1085,Puzzle,Dolls,Store_7,2/4/2023,359,92,9.91,63.37,Summer Break,22749.83,3557.69,19192.14,911.72,3.860215054,0,0
P1086,Soft Toy,Games,Store_5,2/15/2024,387,60,34.27,63.92,Diwali,24737.04,13262.49,11474.55,2056.2,6.344262295,0,0
P1087,Doll,Action Toys,Store_9,10/6/2022,1,50,39.43,41.81,Summer Break,41.81,39.43,2.38,1971.5,0.019607843,0,0
P1088,Lego Set,Action Toys,Store_3,9/24/2022,389,402,46.66,51.26,Off Season,19940.14,18150.74,1789.4,18757.32,0.965260546,0,18757.32
P1089,Card Game,Games,Store_9,10/29/2023,53,4,24.72,13.42,Winter Sale,711.26,1310.16,-598.9,98.88,10.6,1,0
P1090,Board Game,Dolls,Store_7,1/26/2024,105,465,45.56,77.13,Christmas,8098.65,4783.8,3314.85,21185.4,0.225321888,0,21185.4
P1091,Board Game,Games,Store_1,11/12/2022,259,533,44.51,59.44,Christmas,15394.96,11528.09,3866.87,23723.83,0.485018727,0,23723.83
P1092,Soft Toy,Action Toys,Store_6,5/31/2024,309,404,19.27,15.2,Off Season,4696.8,5954.43,-1257.63,7785.08,0.762962963,0,7785.08
P1093,Action Figure,Games,Store_2,8/2/2023,476,512,44.1,71.27,Summer Break,33924.52,20991.6,12932.92,22579.2,0.927875244,0,22579.2
P1094,Lego Set,Puzzles,Store_8,4/18/2023,190,232,21.91,52.01,Summer Break,9881.9,4162.9,5719,5083.12,0.815450644,0,0
P1095,Lego Set,Puzzles,Store_6,10/10/2023,401,523,18.36,13.1,Diwali,5253.1,7362.36,-2109.26,9602.28,0.765267176,0,9602.28
P1096,Action Figure,Dolls,Store_3,9/19/2022,217,345,34.21,97.26,Summer Break,21105.42,7423.57,13681.85,11802.45,0.62716763,0,0
P1097,Board Game,Action Toys,Store_9,3/27/2022,43,45,19.78,95.42,Summer Break,4103.06,850.54,3252.52,890.1,0.934782609,0,0
P1098,Board Game,Dolls,Store_6,9/15/2023,161,545,33.36,56.16,Off Season,9041.76,5370.96,3670.8,18181.2,0.294871795,0,18181.2
P1099,Board Game,Games,Store_5,3/22/2023,201,77,32.44,18.43,Off Season,3704.43,6520.44,-2816.01,2497.88,2.576923077,0,0
P1100,Lego Set,Action Toys,Store_1,2/17/2024,445,72,30.35,77.92,Off Season,34674.4,13505.75,21168.65,2185.2,6.095890411,0,0
P1101,Puzzle,Games,Store_7,1/10/2023,483,248,22.12,54.27,Winter Sale,26212.41,10683.96,15528.45,5485.76,1.939759036,0,0
P1102,Lego Set,Action Toys,Store_6,4/14/2024,269,46,29.68,37.22,Winter Sale,10012.18,7983.92,2028.26,1365.28,5.723404255,0,0
P1103,Remote Car,Dolls,Store_5,8/28/2022,350,120,31.84,54.23,Winter Sale,18980.5,11144,7836.5,3820.8,2.892561983,0,0
P1104,Lego Set,Action Toys,Store_6,1/9/2022,303,213,29.56,57.02,Summer Break,17277.06,8956.68,8320.38,6296.28,1.41588785,0,0
P1105,Card Game,Games,Store_9,5/29/2022,270,238,25,60.64,Diwali,16372.8,6750,9622.8,5950,1.129707113,0,0
P1106,Soft Toy,Puzzles,Store_1,5/18/2024,455,55,5.66,49.71,Christmas,22618.05,2575.3,20042.75,311.3,8.125,0,0
P1107,Action Figure,Dolls,Store_2,8/27/2024,461,349,31.42,64.52,Diwali,29743.72,14484.62,15259.1,10965.58,1.317142857,0,0
P1108,Remote Car,Puzzles,Store_2,5/14/2022,214,106,12.58,92.69,Summer Break,19835.66,2692.12,17143.54,1333.48,2,0,0
P1109,Lego Set,Dolls,Store_5,11/24/2022,251,47,33.92,42.6,Diwali,10692.6,8513.92,2178.68,1594.24,5.229166667,0,0
P1110,Action Figure,Games,Store_7,1/21/2022,189,572,39.17,75.31,Winter Sale,14233.59,7403.13,6830.46,22405.24,0.329842932,0,22405.24
P1111,Card Game,Puzzles,Store_3,5/11/2022,295,336,27.52,90.5,Off Season,26697.5,8118.4,18579.1,9246.72,0.87537092,0,0
P1112,Puzzle,Puzzles,Store_10,5/27/2023,212,25,29.41,51.04,Off Season,10820.48,6234.92,4585.56,735.25,8.153846154,0,0
P1113,Puzzle,Dolls,Store_8,4/21/2022,207,256,47.82,49.91,Off Season,10331.37,9898.74,432.63,12241.92,0.805447471,0,0
P1114,Card Game,Action Toys,Store_7,3/30/2022,236,7,43.12,64.19,Christmas,15148.84,10176.32,4972.52,301.84,29.5,1,0
P1115,Lego Set,Puzzles,Store_6,8/30/2023,337,252,46.14,63.23,Winter Sale,21308.51,15549.18,5759.33,11627.28,1.33201581,0,0
P1116,Remote Car,Games,Store_2,3/17/2023,366,302,41.62,82.59,Off Season,30227.94,15232.92,14995.02,12569.24,1.207920792,0,0
P1117,Puzzle,Puzzles,Store_2,5/7/2024,52,55,9.9,52.88,Summer Break,2749.76,514.8,2234.96,544.5,0.928571429,0,0
P1118,Card Game,Games,Store_5,6/12/2023,279,525,11.7,99.65,Christmas,27802.35,3264.3,24538.05,6142.5,0.530418251,0,6142.5
P1119,Action Figure,Action Toys,Store_1,10/28/2023,409,473,28.7,15.35,Diwali,6278.15,11738.3,-5460.15,13575.1,0.862869198,0,13575.1
P1120,Soft Toy,Action Toys,Store_3,10/15/2022,216,27,16.07,10.29,Summer Break,2222.64,3471.12,-1248.48,433.89,7.714285714,0,0
P1121,Soft Toy,Dolls,Store_10,11/6/2022,251,77,26.45,67.62,Summer Break,16972.62,6638.95,10333.67,2036.65,3.217948718,0,0
P1122,Soft Toy,Action Toys,Store_8,9/3/2023,187,215,22.75,36.86,Winter Sale,6892.82,4254.25,2638.57,4891.25,0.865740741,0,0
P1123,Soft Toy,Action Toys,Store_6,7/7/2024,379,385,29.72,31.63,Diwali,11987.77,11263.88,723.89,11442.2,0.981865285,0,0
P1124,Soft Toy,Games,Store_10,2/6/2024,492,364,38.61,38.07,Winter Sale,18730.44,18996.12,-265.68,14054.04,1.347945205,0,0
P1125,Board Game,Dolls,Store_1,4/12/2024,40,525,37.2,33.04,Off Season,1321.6,1488,-166.4,19530,0.076045627,0,19530
P1126,Remote Car,Action Toys,Store_7,10/10/2023,156,311,28.46,12.77,Diwali,1992.12,4439.76,-2447.64,8851.06,0.5,0,0
P1127,Card Game,Action Toys,Store_10,2/6/2022,14,6,42.01,97.44,Winter Sale,1364.16,588.14,776.02,252.06,2,1,0
P1128,Puzzle,Dolls,Store_10,5/4/2024,300,2,24.39,29.87,Off Season,8961,7317,1644,48.78,100,1,0
P1129,Doll,Puzzles,Store_10,3/10/2022,64,362,45.35,76.06,Diwali,4867.84,2902.4,1965.44,16416.7,0.17630854,0,0
P1130,Card Game,Games,Store_5,3/10/2022,344,507,8.21,78.63,Off Season,27048.72,2824.24,24224.48,4162.47,0.677165354,0,4162.47
P1131,Remote Car,Dolls,Store_7,5/21/2024,326,273,47.96,93.63,Off Season,30523.38,15634.96,14888.42,13093.08,1.189781022,0,0
P1132,Board Game,Dolls,Store_8,7/17/2024,8,505,34.46,12.75,Summer Break,102,275.68,-173.68,17402.3,0.015810277,0,17402.3
P1133,Lego Set,Puzzles,Store_9,9/15/2023,343,14,22.1,88.48,Winter Sale,30348.64,7580.3,22768.34,309.4,22.86666667,1,0
P1134,Board Game,Action Toys,Store_10,3/22/2023,128,191,13.87,57.45,Off Season,7353.6,1775.36,5578.24,2649.17,0.666666667,0,0
P1135,Remote Car,Games,Store_3,9/1/2022,491,484,26.56,66.93,Off Season,32862.63,13040.96,19821.67,12855.04,1.012371134,0,12855.04
P1136,Doll,Games,Store_10,12/8/2023,135,27,13.76,68,Christmas,9180,1857.6,7322.4,371.52,4.821428571,0,0
P1137,Board Game,Puzzles,Store_1,4/10/2023,471,38,12.48,83.78,Winter Sale,39460.38,5878.08,33582.3,474.24,12.07692308,0,0
P1138,Doll,Action Toys,Store_6,3/8/2023,62,272,32.78,40.01,Summer Break,2480.62,2032.36,448.26,8916.16,0.227106227,0,0
P1139,Puzzle,Puzzles,Store_6,9/1/2023,138,230,28.54,75.97,Off Season,10483.86,3938.52,6545.34,6564.2,0.597402597,0,0
P1140,Action Figure,Games,Store_1,2/17/2024,498,85,35.15,57.57,Christmas,28669.86,17504.7,11165.16,2987.75,5.790697674,0,0
P1141,Puzzle,Puzzles,Store_10,9/12/2022,80,473,46.83,81.41,Diwali,6512.8,3746.4,2766.4,22150.59,0.168776371,0,22150.59
P1142,Card Game,Games,Store_3,11/10/2023,391,125,28.95,99.15,Summer Break,38767.65,11319.45,27448.2,3618.75,3.103174603,0,0
P1143,Lego Set,Dolls,Store_8,4/14/2023,162,536,31.14,28.06,Summer Break,4545.72,5044.68,-498.96,16691.04,0.301675978,0,16691.04
P1144,Soft Toy,Games,Store_7,9/3/2024,418,144,9.03,99.52,Diwali,41599.36,3774.54,37824.82,1300.32,2.882758621,0,0
P1145,Board Game,Action Toys,Store_10,6/9/2024,288,524,37.29,18.08,Off Season,5207.04,10739.52,-5532.48,19539.96,0.548571429,0,19539.96
P1146,Puzzle,Dolls,Store_9,6/1/2023,378,211,23,10.21,Winter Sale,3859.38,8694,-4834.62,4853,1.783018868,0,0
P1147,Action Figure,Dolls,Store_1,6/11/2023,260,24,48.95,13.97,Summer Break,3632.2,12727,-9094.8,1174.8,10.4,0,0
P1148,Lego Set,Puzzles,Store_6,1/25/2023,489,579,42.04,40.76,Diwali,19931.64,20557.56,-625.92,24341.16,0.843103448,0,24341.16
P1149,Soft Toy,Puzzles,Store_9,5/15/2023,230,393,28.51,66.96,Summer Break,15400.8,6557.3,8843.5,11204.43,0.583756345,0,0
P1150,Remote Car,Dolls,Store_3,1/22/2023,40,66,10.55,16.21,Winter Sale,648.4,422,226.4,696.3,0.597014925,0,0
P1151,Board Game,Games,Store_9,9/7/2024,27,232,43.67,10.51,Diwali,283.77,1179.09,-895.32,10131.44,0.115879828,0,0
P1152,Action Figure,Puzzles,Store_2,10/5/2023,134,108,40.99,94.34,Diwali,12641.56,5492.66,7148.9,4426.92,1.229357798,0,0
P1153,Board Game,Action Toys,Store_7,9/20/2024,200,145,13.31,83.97,Winter Sale,16794,2662,14132,1929.95,1.369863014,0,0
P1154,Soft Toy,Games,Store_1,4/26/2024,327,110,18.29,82.83,Winter Sale,27085.41,5980.83,21104.58,2011.9,2.945945946,0,0
P1155,Doll,Action Toys,Store_10,5/4/2024,267,227,40.7,89.6,Summer Break,23923.2,10866.9,13056.3,9238.9,1.171052632,0,0
P1156,Card Game,Dolls,Store_9,9/18/2023,417,110,13.34,73,Off Season,30441,5562.78,24878.22,1467.4,3.756756757,0,0
P1157,Action Figure,Dolls,Store_8,4/29/2023,32,469,46.3,19.4,Winter Sale,620.8,1481.6,-860.8,21714.7,0.068085106,0,21714.7
P1158,Lego Set,Dolls,Store_4,2/2/2024,47,33,24.1,45.92,Summer Break,2158.24,1132.7,1025.54,795.3,1.382352941,0,0
P1159,Puzzle,Dolls,Store_9,5/30/2023,406,368,8.92,75.08,Summer Break,30482.48,3621.52,26860.96,3282.56,1.100271003,0,0
P1160,Doll,Games,Store_7,2/26/2022,61,594,41.71,35.23,Diwali,2149.03,2544.31,-395.28,24775.74,0.102521008,0,24775.74
P1161,Remote Car,Games,Store_9,8/26/2023,215,553,21.81,71.87,Off Season,15452.05,4689.15,10762.9,12060.93,0.388086643,0,12060.93
P1162,Remote Car,Games,Store_2,7/30/2022,292,424,28.69,12.2,Winter Sale,3562.4,8377.48,-4815.08,12164.56,0.687058824,0,12164.56
P1163,Remote Car,Puzzles,Store_8,9/1/2024,98,517,10.05,37.55,Summer Break,3679.9,984.9,2695,5195.85,0.189189189,0,5195.85
P1164,Card Game,Action Toys,Store_7,1/9/2024,171,281,5.12,59.42,Diwali,10160.82,875.52,9285.3,1438.72,0.606382979,0,0
P1165,Board Game,Games,Store_4,7/23/2022,359,319,33.71,66.89,Christmas,24013.51,12101.89,11911.62,10753.49,1.121875,0,0
P1166,Soft Toy,Games,Store_7,1/22/2023,213,442,28.18,61.93,Christmas,13191.09,6002.34,7188.75,12455.56,0.480812641,0,12455.56
P1167,Lego Set,Games,Store_5,6/3/2022,474,314,31.71,72.8,Off Season,34507.2,15030.54,19476.66,9956.94,1.504761905,0,0
P1168,Board Game,Games,Store_6,3/10/2023,34,376,40.72,10.55,Winter Sale,358.7,1384.48,-1025.78,15310.72,0.090185676,0,0
P1169,Soft Toy,Action Toys,Store_3,10/1/2023,448,288,34.1,19.08,Summer Break,8547.84,15276.8,-6728.96,9820.8,1.55017301,0,0
P1170,Card Game,Dolls,Store_9,5/3/2024,226,436,12.86,88.2,Summer Break,19933.2,2906.36,17026.84,5606.96,0.517162471,0,5606.96
P1171,Lego Set,Action Toys,Store_2,1/25/2023,100,276,21.23,71.36,Diwali,7136,2123,5013,5859.48,0.36101083,0,0
P1172,Soft Toy,Dolls,Store_9,1/14/2023,430,581,45.77,20.16,Diwali,8668.8,19681.1,-11012.3,26592.37,0.738831615,0,26592.37
P1173,Action Figure,Action Toys,Store_4,8/10/2022,461,502,39.65,85.79,Winter Sale,39549.19,18278.65,21270.54,19904.3,0.916500994,0,19904.3
P1174,Remote Car,Puzzles,Store_4,6/20/2024,130,515,30.05,31.8,Summer Break,4134,3906.5,227.5,15475.75,0.251937984,0,15475.75
P1175,Doll,Action Toys,Store_5,9/15/2024,256,349,16.5,53.04,Christmas,13578.24,4224,9354.24,5758.5,0.731428571,0,0
P1176,Soft Toy,Action Toys,Store_3,10/24/2023,4,445,18.59,23.07,Christmas,92.28,74.36,17.92,8272.55,0.00896861,0,8272.55
P1177,Soft Toy,Dolls,Store_5,8/2/2024,217,349,37.94,73.91,Christmas,16038.47,8232.98,7805.49,13241.06,0.62,0,0
P1178,Puzzle,Dolls,Store_10,10/5/2023,254,136,43.3,70.02,Christmas,17785.08,10998.2,6786.88,5888.8,1.854014599,0,0
P1179,Remote Car,Action Toys,Store_6,3/12/2024,397,242,35.21,29,Diwali,11513,13978.37,-2465.37,8520.82,1.633744856,0,0
P1180,Board Game,Puzzles,Store_5,8/5/2022,358,542,41.43,87.71,Christmas,31400.18,14831.94,16568.24,22455.06,0.659300184,0,22455.06
P1181,Soft Toy,Games,Store_7,5/2/2024,282,39,39.5,46.12,Diwali,13005.84,11139,1866.84,1540.5,7.05,0,0
P1182,Soft Toy,Action Toys,Store_1,7/20/2024,392,228,11.74,36.33,Christmas,14241.36,4602.08,9639.28,2676.72,1.711790393,0,0
P1183,Lego Set,Games,Store_1,1/28/2022,206,547,24.08,23.71,Summer Break,4884.26,4960.48,-76.22,13171.76,0.375912409,0,13171.76
P1184,Puzzle,Puzzles,Store_7,6/10/2024,14,222,11.88,33.96,Winter Sale,475.44,166.32,309.12,2637.36,0.062780269,0,0
P1185,Board Game,Dolls,Store_10,9/26/2022,345,5,15.59,11.98,Summer Break,4133.1,5378.55,-1245.45,77.95,57.5,1,0
